id;branch_name;description;branchcode;ifsc_code;micr_code;swift_code;iban_code;is_head_office;routing_transit_no;phone;email;web_site;fax;is_activate;branch_type;created_on;created_by;deleted;last_modified;last_modified_by
1;protocol Pound;Guinea-Bissau;sensor black;virtual Associate Tools;model;Shoes;Auto Representative HTTP;true;International;451-979-8383 x6241;Madison20@hotmail.com;envisioneer technologies;olive Sausages Synchronised;false;ZONAL_OFFICE;2023-02-08T01:02:59;Rubber sensor azure;empower Avon;2023-02-07T08:47:16;Sausages innovate fault-tolerant
2;Frozen;Engineer technologies;Home Azerbaijan;South Quality invoice;innovate;Rupee navigating Loan;Account system Director;true;orchestration;598.506.9493;Vivianne.Lang27@yahoo.com;Fresh;Salad redundant;false;BRANCH;2023-02-07T10:14:39;Account Checking Chips;synergies neural Djibouti;2023-02-07T20:40:49;navigating SMTP iterate
3;Loan content Clothing;Granite extend bypassing;and;efficient reboot Data;withdrawal;Oklahoma Vision-oriented Baby;target Cheese SCSI;false;policy;992.767.3029;Gilbert.Huel@hotmail.com;navigate Soft;User-friendly withdrawal;true;ZONAL_OFFICE;2023-02-07T17:13:17;Creative encryption;Front-line;2023-02-08T00:56:20;Kwanza monitor red
4;Games Mouse Salad;Spring heuristic Guernsey;Borders transmitting bus;Korea Borders Liechtenstein;Wooden;Awesome;connecting;true;e-commerce;675-413-6325;Wellington31@yahoo.com;radical impactful Kansas;global Vision-oriented;false;BRANCH;2023-02-07T21:29:56;1080p wireless;methodologies Buckinghamshire;2023-02-08T05:07:36;Handcrafted
5;parsing Idaho Nevada;compressing copying transmitting;empowering matrix Refined;Multi-lateral Hawaii Usability;Buckinghamshire calculating calculate;invoice virtual;Crest Handcrafted Rustic;true;Gibraltar;251.467.2873;Wilburn62@yahoo.com;synergies Dynamic;optical relationships;true;ZONAL_OFFICE;2023-02-07T17:32:52;RSS functionalities yellow;Market;2023-02-07T09:49:50;Fresh fresh-thinking
6;open-source;Face Team-oriented compress;Quality Micronesia Plastic;schemas;AGP;indexing;exploit;false;Garden Communications;1-241-593-1073;Timmy64@yahoo.com;Dong website motivating;Outdoors array circuit;false;BRANCH;2023-02-07T17:27:22;Wisconsin seize Beauty;Granite parsing;2023-02-07T08:28:34;solution-oriented Krona transmitter
7;alarm;grid-enabled;quantifying;Checking open-source;Checking;Martin;Group utilize Texas;false;Account Kip Garden;1-623-896-0202;Colin_Kemmer@gmail.com;needs-based Money Representative;e-services productize;true;ZONAL_OFFICE;2023-02-07T18:31:15;Handmade back-end Kong;connecting;2023-02-07T11:22:52;Rubber
8;Open-architected Spur;Automotive Berkshire;Bedfordshire whiteboard;systems;solid budgetary Steel;payment;Account;false;reciprocal Angola;877.760.2476 x339;Heather97@yahoo.com;Cambridgeshire channels Handmade;Industrial Shoes content-based;false;BRANCH;2023-02-08T00:32:43;Card Account;whiteboard plum;2023-02-07T17:13:19;transmitter olive Mouse
9;PNG B2B;Persevering Freeway;architect Tasty product;firewall Computers Branding;digital grow;Taiwan green;platforms;false;SDD Soft Table;(777) 258-0480;Watson.Cruickshank@gmail.com;groupware transmitter;capability;false;BRANCH;2023-02-08T00:20:21;maroon hacking Mauritius;Intelligent Officer online;2023-02-07T06:51:15;Account virtual
10;Hampshire indexing Customer-focused;Bedfordshire Garden;users Harbor Administrator;Multi-channelled;Vision-oriented Account;fuchsia Metal Director;Delaware encompassing;true;Angola Metal Directives;(591) 964-1763 x6999;Gussie.Flatley48@gmail.com;Director Account;Fresh;true;BRANCH;2023-02-07T06:59:31;open-source;Regional;2023-02-07T13:12:54;Identity Flats
