id;holiday_name;holiday_date;day;year;last_modified;last_modified_by;created_by;created_on;deleted
1;input;2023-02-07T17:27:59;online hack;2023-02-07T12:10:21;2023-02-07T07:35:45;strategy Savings firewall;Cambridgeshire Account multi-byte;2023-02-07T09:07:09;false
2;sticky Movies;2023-02-07T10:27:53;Buckinghamshire forecast Loan;2023-02-07T18:33:59;2023-02-08T00:57:06;edge Pines;Administrator;2023-02-07T11:56:01;true
3;dynamic Data SQL;2023-02-07T16:29:17;monitor;2023-02-07T17:07:35;2023-02-07T07:30:06;Keyboard Sleek;bluetooth Georgia;2023-02-08T02:51:04;false
4;Oklahoma Operative;2023-02-07T23:46:42;Producer full-range Rhode;2023-02-07T12:33:43;2023-02-08T02:51:09;Mexico;extend withdrawal Lights;2023-02-07T14:57:14;true
5;neural;2023-02-07T06:20:48;Roads;2023-02-07T11:38:48;2023-02-08T04:15:20;wireless;program Corporate Web;2023-02-07T07:35:41;false
6;Anguilla Pound;2023-02-08T06:06:30;Towels;2023-02-08T03:03:03;2023-02-07T06:16:11;Samoa;transition one-to-one;2023-02-07T12:59:51;false
7;blockchains;2023-02-07T08:48:40;THX Rapid pixel;2023-02-08T01:50:46;2023-02-07T14:46:18;Steel systematic;groupware Handmade;2023-02-07T17:40:23;false
8;silver;2023-02-07T14:34:52;Common communities;2023-02-08T01:43:24;2023-02-07T07:24:00;matrix Steel Directives;cross-platform challenge;2023-02-07T12:51:46;true
9;workforce;2023-02-08T04:42:27;Refined;2023-02-07T18:59:51;2023-02-07T14:22:38;Loan Investment Avon;Kids synthesizing Rupee;2023-02-07T07:12:26;false
10;COM orchestrate Iowa;2023-02-07T18:34:03;Concrete;2023-02-08T06:07:56;2023-02-08T03:56:55;overriding;Park Account;2023-02-08T04:25:59;true
