id;leave_type;no_of_days;status;last_modified;last_modified_by;created_by;created_on;deleted
1;salmon Concrete;Omani Market;INACTIVE;2023-02-08T01:27:51;Borders;programming;2023-02-07T10:59:17;false
2;Wooden networks applications;Senior;INACTIVE;2023-02-07T21:17:58;bandwidth Movies;Profit-focused;2023-02-07T17:07:24;true
3;SDD Strategist;Functionality Auto Road;INACTIVE;2023-02-08T03:52:03;action-items grid-enabled Bacon;Auto RAM;2023-02-07T21:09:25;false
4;Chips azure Direct;Outdoors maroon Market;INACTIVE;2023-02-07T09:13:09;port;Borders Future;2023-02-07T13:30:05;false
5;neural;Money;INACTIVE;2023-02-08T06:08:11;Assimilated;Iowa Multi-tiered;2023-02-07T08:41:47;true
6;Handmade Assimilated;Tunnel Account Loti;INACTIVE;2023-02-08T00:51:36;Direct compress;Colorado;2023-02-08T03:06:43;false
7;cross-platform envisioneer Health;Extended Money;INACTIVE;2023-02-08T02:41:40;Towels generate end-to-end;Checking bypass;2023-02-07T18:57:16;false
8;Loan Supervisor;Strategist;ACTIVE;2023-02-07T08:52:41;Strategist Distributed Jewelery;application Refined;2023-02-07T19:58:33;false
9;mobile Locks;Granite withdrawal back-end;ACTIVE;2023-02-08T05:48:13;clear-thinking program Alaska;client-server bandwidth target;2023-02-07T15:29:39;true
10;complexity strategize Washington;Money instruction;ACTIVE;2023-02-07T16:27:29;blockchains value-added input;brand;2023-02-07T23:54:40;true
