id;salary_basis;amount;payment_type;is_pf_contribution;pf_number;pf_rate;additional_pf_rate;total_pf_rate;is_esi_contribution;esi_number;esi_rate;additional_esi_rate;total_esi_rate;employe_id;last_modified;last_modified_by;created_by;created_on;deleted
1;WEEKLY;61091;Liaison Rubber;true;Keyboard;35040;Dynamic Minor;37456;false;card;22799;Jordan Pine;22819;64629;2023-02-07T13:09:23;Account;JSON Finland;2023-02-08T03:43:52;true
2;HOURLY;20137;Aruba transmit;false;Tactics generating RSS;10361;Ruble;68786;true;payment Shoes reboot;53046;violet orchid Dynamic;22455;18988;2023-02-07T17:06:57;synergistic;invoice;2023-02-07T08:40:39;true
3;DAILY;16453;next-generation Bahrain;false;turquoise payment;28483;integrate;39454;true;Avon Metrics Mouse;74439;Dong;14274;61039;2023-02-07T06:18:35;hacking;(Chagos capacity overriding;2023-02-08T00:20:46;false
4;HOURLY;36561;index mobile;false;Berkshire;67831;Creative Canyon;47405;false;open-source Forward;45984;PCI withdrawal Forges;8969;33200;2023-02-07T23:02:32;Avon connect deposit;deposit impactful ability;2023-02-07T19:21:17;false
5;WEEKLY;17683;Barbuda;true;Awesome Cotton;82873;Clothing IB;43939;false;background Republic) deposit;63793;application bypass;22404;13272;2023-02-07T22:02:52;Corporate;Dollar Cotton Rest;2023-02-07T08:36:20;false
6;WEEKLY;97601;Garden Gorgeous Ergonomic;true;RSS;36724;Beauty;24994;false;Fresh Caicos;1180;strategize;12190;85559;2023-02-07T22:38:31;Principal Mouse;Steel Account Costa;2023-02-07T10:53:13;true
7;DAILY;59321;indexing;false;Investment;77072;Tugrik;89793;true;bricks-and-clicks SMTP SMTP;704;aggregate;70505;77979;2023-02-08T05:03:34;Checking Health;hacking;2023-02-08T03:06:22;true
8;HOURLY;96631;generating;true;Awesome;24838;Tuna Inlet Coordinator;82592;true;actuating redundant Director;72234;Macao Sports;14860;63530;2023-02-08T05:02:34;withdrawal Avon Nebraska;digital Checking maximize;2023-02-07T07:45:02;false
9;MONTHLY;15749;Regional SQL Mouse;false;actuating;86154;Taiwan;992;false;harness AI;4880;Islands Timor-Leste;75208;60833;2023-02-08T06:14:23;California online;end-to-end;2023-02-07T09:46:31;true
10;WEEKLY;97720;calculate Account;false;Buckinghamshire;95924;Sum matrices Malaysia;9056;false;payment empower Auto;7373;Jewelery;15432;94933;2023-02-07T14:24:14;Frozen green Cloned;Frozen;2023-02-07T11:04:42;true
